"RANK","NAME","TEAM","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Ziaire Williams","Bro","F","23.4","37","23.4","18.8","11.4","83","0.819","148","0.473","146","0.322","0.478","0.528","9.4","4.7","1.4","1","0.4","1","14.1","10.8","15.5","6.8","106.7","106.9"
"","Mike Conley","Min","G","37.3","47","25.1","15.1","13.4","64","0.906","111","0.333","218","0.39","0.5","0.542","8.2","2.7","4.6","1.2","0.2","1.1","10.9","12.8","15.5","7.4","120.7","109.4"
"","Max Strus","Cle","G-F","28.9","23","24.6","14.2","13","9","0.778","34","0.618","126","0.365","0.563","0.57","8.1","4.3","3","0.7","0.4","1","12.4","11.1","15.4","7.7","117.3","107.1"
"","Aaron Wiggins","Okc","G","26.1","49","21.4","18.6","9.5","43","0.837","216","0.606","183","0.366","0.58","0.597","10.2","3.6","1.6","0.7","0.2","0.9","13.8","11.8","15.4","7.3","118.7","105.3"
"","Obi Toppin","Ind","F","26.9","47","19","19.1","9","64","0.797","176","0.71","158","0.342","0.617","0.639","9.9","4","1.5","0.7","0.4","0.7","13.9","11.4","15.4","8.2","123.3","110.4"
"","Chris Boucher","Tor","F","32.1","43","17.4","21.7","7.7","80","0.788","154","0.649","168","0.375","0.604","0.633","10.5","4.3","0.6","0.5","0.6","0.6","14.8","11.1","15.4","6.9","122.9","111.5"
"","Keon Johnson","Bro","G","22.9","49","23.1","21.9","11.4","81","0.778","223","0.462","244","0.303","0.458","0.488","10","3.4","1.9","0.9","0.3","1.2","13.4","11.9","15.3","6.9","98.6","107.7"
"","Andre Drummond","Phi","C","31.5","28","19.2","19.1","22.8","61","0.574","148","0.541","11","0.091","0.513","0.533","7.1","7.6","0.6","1.1","0.4","1.7","14.7","7.6","15.3","6.6","100.3","99.8"
"","Derrick Jones Jr.","Lac","F","28","49","25.2","16.5","10.6","66","0.788","256","0.602","139","0.367","0.584","0.605","10.5","3.7","0.9","1.2","0.4","1","14.2","11.4","15.1","5.2","117","105.7"
"","Ausar Thompson","Det","G-F","22","29","20.4","18.8","16.5","59","0.61","165","0.564","32","0.219","0.525","0.545","8.4","4.9","1.7","1.6","0.4","1.3","13.2","10.1","15","8.1","107.4","100.1"
"","Jalen Smith","Chi","F-C","24.9","47","15.3","20.7","8.6","67","0.836","136","0.625","163","0.35","0.57","0.604","8.4","5.6","0.9","0.3","0.7","0.6","14.1","9.4","15","9.1","121.5","107.3"
"","Al Horford","Bos","C-F","38.7","40","26.2","13.2","9.3","16","0.875","82","0.549","200","0.35","0.532","0.543","7.9","5.3","1.9","0.6","0.9","0.7","13.1","9.8","15","6.6","115.2","108.5"
"","Josh Okogie","Cha","G","26.4","7","21.2","20","14.4","19","0.789","30","0.467","23","0.391","0.519","0.57","10","3.4","1.4","2.7","0.7","1.3","13.4","11.4","14.9","6.8","112.3","105.4"
"","Anthony Black","Orl","G","21.1","49","24.7","19.1","19.8","139","0.755","262","0.462","115","0.261","0.44","0.499","8.9","2.6","3.4","1","0.5","1.9","11.5","12.3","14.9","6.9","99.2","104.9"
"","Jalen Wilson","Bro","F","24.3","50","27.6","16.3","12.2","98","0.827","187","0.492","223","0.314","0.48","0.524","9.5","3.5","1.9","0.6","0","1.1","13","11.4","14.9","5.8","106.6","113.2"
"","Bogdan Bogdanovic","Atl","G","32.5","24","24.9","18.8","14.2","34","0.882","78","0.5","146","0.301","0.469","0.502","10","2.8","2","0.8","0.3","1.5","12.8","12","14.8","6.1","97.3","110.3"
"","GG Jackson","Mem","F","20.1","9","17.6","25","14.1","17","0.824","39","0.538","40","0.275","0.475","0.515","9.9","3.9","0.9","0.6","0.2","1.4","13.8","10.8","14.7","7.4","101","109.8"
"","Cole Anthony","Orl","G","24.7","48","17.2","26.2","16.5","81","0.79","234","0.487","151","0.318","0.483","0.518","9.1","2.9","2.8","0.6","0.3","1.6","12","11.9","14.7","9.8","102.2","99.9"
"","Marcus Smart","Mem","G","30.9","19","21.1","19.8","19.1","36","0.833","58","0.414","90","0.322","0.456","0.504","8.7","2.3","3.7","1.2","0.3","1.8","10.9","12.4","14.7","8","105","108.5"
"","Tim Hardaway Jr.","Det","G-F","32.9","47","28.6","15","7.6","97","0.825","135","0.489","265","0.381","0.544","0.582","11","2.2","1.6","0.4","0","0.7","13.2","12.5","14.7","4.7","117.7","116.1"
"","Cody Martin","Cha","F","29.4","39","24.8","14.5","13.5","49","0.694","144","0.528","124","0.323","0.507","0.528","7.8","4.5","2.3","1.1","0.7","1.1","12.4","10.1","14.6","7","109.5","109.3"
